condition,label_type,model,accuracy,n_trials
eyes_open,y_subjective,SVC,0.45,204
eyes_open,y_subjective,RandomForest,0.4998780487804878,204
eyes_open,y_subjective,XGBoost,0.4854878048780488,204
eyes_open,y_subjective,LogisticRegression,0.4159756097560976,204
eyes_open,y_subjective,KNN,0.6073170731707317,204
eyes_open,y_objective,SVC,0.6551641071966274,409
eyes_open,y_objective,RandomForest,0.5937669376693767,409
eyes_open,y_objective,XGBoost,0.6671484492622705,409
eyes_open,y_objective,LogisticRegression,0.6355916892502258,409
eyes_open,y_objective,KNN,0.6183077386329419,409
eyes_closed,y_subjective,SVC,0.5323170731707317,203
eyes_closed,y_subjective,RandomForest,0.6097560975609756,203
eyes_closed,y_subjective,XGBoost,0.5363414634146342,203
eyes_closed,y_subjective,LogisticRegression,0.5173170731707317,203
eyes_closed,y_subjective,KNN,0.44780487804878044,203
eyes_closed,y_objective,SVC,0.5890394459500151,409
eyes_closed,y_objective,RandomForest,0.5450165612767239,409
eyes_closed,y_objective,XGBoost,0.540138512496236,409
eyes_closed,y_objective,LogisticRegression,0.601294790725685,409
eyes_closed,y_objective,KNN,0.5206263173742849,409
